Rank,Country,TotalUSDPrize,Player Number
1,China,216279351,6333
2,United States of America,209709566,22249
3,Korea,118849230,4776
4,Russia,58877373,4520
5,Denmark,47306250,1841
6,Sweden,45095211,2892
7,France,42006004,4927
8,Brazil,39582171,3785
9,Canada,37648241,3410
10,Germany,36305335,5337
11,United Kingdom,32894386,4125
12,Finland,29771064,1827
13,Ukraine,28392811,1260
14,Australia,23627236,2874
15,Japan,23372131,2339
16,Poland,19849312,2302
17,Thailand,18381932,1786
18,Taiwan,17397647,1314
19,Malaysia,15862088,1132
20,Philippines,14475623,1187
21,Netherlands,12256999,1727
22,Vietnam,10672948,1841
23,Norway,10599079,1106
24,Indonesia,10346207,1744
25,Spain,9892273,2050
26,Bulgaria,9108371,377
27,Jordan,8018734,96
28,Turkey,7521506,1136
29,Saudi Arabia,6583103,470
30,Argentina,6291625,952
31,Estonia,5589602,289
32,Singapore,5584785,851
33,Mexico,5369681,777
34,Pakistan,5173553,327
35,Italy,4997355,1190
36,Lebanon,4831464,89
37,Austria,4640163,628
38,Peru,4514613,464
39,Romania,4365727,502
40,Belgium,4150392,726
41,Czech Republic,4067728,889
42,Israel,4047667,236
43,Kazakhstan,3925928,620
44,India,3750825,1023
45,Belarus,3100418,325
46,Portugal,2769191,924
47,Hong Kong,2731097,554
48,Slovakia,2523772,306
49,Switzerland,2486312,554
50,Serbia,2328430,306
51,Chile,2073442,579
52,Slovenia,2068068,115
53,Greece,2056841,468
54,Lithuania,2017537,340
55,New Zealand,1993516,320
56,Latvia,1739791,279
57,Macao,1695066,35
58,Bosnia and Herzegovina,1655876,67
59,Mongolia,1616892,186
60,North Macedonia,1598349,68
61,Croatia,1562848,228
62,Hungary,1469620,582
63,South Africa,1371635,607
64,Iraq,1056824,97
65,Ireland,1015462,246
66,Colombia,721118,233
67,Moldova,684797,46
68,Kyrgyzstan,683733,59
69,Nepal,635353,106
70,Morocco,607562,112
71,Dominican Republic,580230,85
72,Bolivia,569665,24
73,Armenia,535425,33
74,United Arab Emirates,517028,168
75,Uruguay,476999,77
76,Azerbaijan,420263,98
77,Puerto Rico,412880,76
78,Uzbekistan,394922,50
79,Algeria,366565,73
80,Iran,361406,138
81,Egypt,358019,131
82,Syria,350677,49
83,Tunisia,294798,63
84,Venezuela,267415,140
85,Kuwait,258132,93
86,Afghanistan,253337,7
87,Georgia,244596,88
88,Myanmar,235493,118
89,Montenegro,220148,14
90,Bahrain,217939,18
91,Iceland,213455,127
92,Cuba,202298,19
93,Kosovo,195655,33
94,Ecuador,174586,46
95,Cambodia,169336,171
96,Malta,156266,290
97,Lao,140032,66
98,Bangladesh,138952,65
99,Albania,131933,53
100,Gibraltar,127330,1
101,Costa Rica,99743,56
102,Luxembourg,77570,33
103,Guatemala,75538,28
104,Palestine,69671,16
105,Honduras,69392,14
106,Nicaragua,63775,8
107,Brunei,53614,67
108,Panama,52395,47
109,Oman,45803,5
110,Senegal,43503,8
111,Libya,42500,6
112,Qatar,30003,19
113,Paraguay,26499,31
114,Sri Lanka,24438,26
115,Ethiopia,23670,1
116,Yemen,20735,8
117,Faroe Islands,9526,25
118,Greenland,9425,3
119,El Salvador,7549,10
120,Nigeria,6667,5
121,Mauritius,5530,7
122,Monaco,5052,3
123,Tanzania,4500,1
124,Åland Islands,3547,18
125,Jersey,3513,2
126,Tajikistan,3475,1
127,New Caledonia,3438,4
128,Jamaica,3308,9
129,Ghana,2809,5
130,Zimbabwe,2183,2
131,French Polynesia,1746,2
132,Zambia,1635,2
133,Kenya,1633,2
134,Cyprus,1578,8
135,Trinidad and Tobago,1216,2
136,Angola,1200,3
137,Andorra,952,5
138,Mauritania,759,1
139,Guyana,700,1
140,Guernsey,690,1
141,Wallis And Futuna,600,1
142,Isle of Man,536,1
143,Aruba,513,4
144,Madagascar,458,1
145,Côte D'Ivoire,337,2
146,Northern Mariana Islands,300,1
147,Bahamas,263,1
148,Belize,250,1
149,Turkmenistan,220,1
150,Bermuda,200,1
151,Maldives,122,3
152,Liechtenstein,56,2
153,Saint Martin,50,1
154,United States Minor Outlying Islands,30,1
155,Saint Kitts and Nevis,20,1
156,Virgin Islands,12,1
157,Saint Barthélemy,8,1
